num,year,manufacturer,model,cylinders,fuel,transmission,size,on_highway,on_city,engine,Annually
1,2017,Chevrolet,Bolt,6,Electricity,Automatic,Small Wagons,110,128,,550
2,2017,Chevrolet,Camaro,8,Premium,Automatic,Sub Cars,20,12,6.2,2800
3,2017,Chevrolet,Camaro,6,Regular,Automatic,Sub Cars,28,19,3.6,1600
4,2017,Chevrolet,Camaro,4,Premium,Automatic,Sub Cars,31,22,2,1700
5,2017,Chevrolet,Camaro,8,Premium,Automatic,Sub Cars,27,17,6.2,2100
6,2017,Chevrolet,Camaro,8,Premium,Manual,Sub Cars,25,16,6.2,2250
7,2017,Chevrolet,Camaro,4,Premium,Manual,Sub Cars,30,20,2,1850
8,2017,Chevrolet,Camaro,6,Regular,Manual,Sub Cars,28,16,3.6,1750
9,2017,Chevrolet,Camaro,8,Premium,Manual,Sub Cars,20,14,6.2,2650
10,2017,Chevrolet,City Express Cargo Van,4,Regular,Automatic,2WD,26,24,2,1400
11,2017,Chevrolet,Colorado2WD,4,Regular,Automatic,Small 2WD,26,20,2.5,1600
12,2017,Chevrolet,Colorado2WD,4,Diesel,Automatic,Small 2WD,30,22,2.8,1550
13,2017,Chevrolet,Colorado2WD,6,Regular,Automatic,Small 2WD,25,18,3.6,1750
14,2017,Chevrolet,Colorado2WD,4,Regular,Manual,Small 2WD,26,19,2.5,1600
15,2017,Chevrolet,Colorado 4WD,4,Regular,Automatic,Small 4WD,24,19,2.5,1650
16,2017,Chevrolet,Colorado 4WD,4,Diesel,Automatic,Small 4WD,28,20,2.8,1700
17,2017,Chevrolet,Colorado 4WD,6,Regular,Automatic,Small 4WD,24,17,3.6,1850
18,2017,Chevrolet,Colorado Cab Chassis2WD,6,Regular,Automatic,2WD,17,15,3.6,2200
19,2017,Chevrolet,Corvette,8,Premium,Automatic,2 Seats,26,15,6.2,2250
20,2017,Chevrolet,Corvette,8,Premium,Automatic,2 Seats,23,13,6.2,2650
21,2017,Chevrolet,Corvette,8,Premium,Manual,2 Seats,25,16,6.2,2250
22,2017,Chevrolet,Corvette,8,Premium,Manual,2 Seats,22,15,6.2,2350
23,2017,Chevrolet,Cruze,4,Regular,Automatic,Compact Cars,40,30,1.4,1050
24,2017,Chevrolet,Cruze,4,Regular,Manual,Compact Cars,39,28,1.4,1100
25,2017,Chevrolet,Cruze Hatchback,4,Regular,Automatic,Compact Cars,38,29,1.4,1100
26,2017,Chevrolet,Cruze Hatchback,4,Regular,Manual,Compact Cars,37,28,1.4,1150
27,2017,Chevrolet,Cruze Premier,4,Regular,Automatic,Compact Cars,39,29,1.4,1050
28,2017,Chevrolet,Cruze Premier Hatchback,4,Regular,Automatic,Compact Cars,37,28,1.4,1150
29,2017,Chevrolet,Equinox AWD,4,Regular,Automatic,Small Sport Utility Vehicle 4WD,28,20,2.4,1500
30,2017,Chevrolet,Equinox AWD,6,Regular,Automatic,Small Sport Utility Vehicle 4WD,23,16,3.6,1950
31,2017,Chevrolet,Equinox AWD,4,Gasoline or E85,Automatic,Small Sport Utility Vehicle 4WD,28,20,2.4,1500
32,2017,Chevrolet,Equinox FWD,4,Regular,Automatic,Small Sport Utility Vehicle2WD,31,21,2.4,1400
33,2017,Chevrolet,Equinox FWD,6,Regular,Automatic,Small Sport Utility Vehicle2WD,24,17,3.6,1750
34,2017,Chevrolet,Equinox FWD,4,Gasoline or E85,Automatic,Small Sport Utility Vehicle2WD,31,21,2.4,1400
35,2017,Chevrolet,Express 25002WD Passenger,8,Regular,Automatic,Vans,16,11,6,2700
36,2017,Chevrolet,Express 35002WD Passenger,8,Regular,Automatic,Vans,16,11,6,2900
37,2017,Chevrolet,Impala,4,Regular,Automatic,Large Cars,30,22,2.5,1400
38,2017,Chevrolet,Impala,6,Regular,Automatic,Large Cars,28,18,3.6,1600
39,2017,Chevrolet,Impala,6,Gasoline or E85,Automatic,Large Cars,28,19,3.6,1600
40,2017,Chevrolet,Malibu,4,Regular,Automatic,Midsize Cars,36,27,1.5,1150
41,2017,Chevrolet,Malibu,4,Premium,Automatic,Midsize Cars,33,22,2,1650
42,2017,Chevrolet,Malibu Hybrid,4,Regular,Automatic,Midsize Cars,43,49,1.8,750
43,2017,Chevrolet,Silverado 15 Hybrid2WD,8,Regular,Automatic,Pickup 2WD,24,18,5.3,1750
44,2017,Chevrolet,Silverado 15 Hybrid 4WD,8,Regular,Automatic,Pickup 4WD,21,16,5.3,1950
45,2017,Chevrolet,Silverado C152WD,8,Regular,Automatic,Pickup 2WD,23,16,5.3,1850
46,2017,Chevrolet,Silverado C152WD,6,Gasoline or E85,Automatic,Pickup 2WD,24,18,4.3,1750
47,2017,Chevrolet,Silverado C152WD,8,Gasoline or E85,Automatic,Pickup 2WD,23,16,5.3,1850
48,2017,Chevrolet,Silverado C152WD,8,Regular,Automatic,Pickup 2WD,21,15,6.2,2050
